"species","kappa","spec_sens","no_omission","prevalence","equal_sens_spec","sensitivity","AUC","AUCratio","pROC","pval_pROC","TSS","algoritmo","run","partition","presencenb","absencenb","correlation","pvaluecor","threshold","prevalence.value","PPP","NPP","sensitivity.value","specificity.value","comission","omission","accuracy","KAPPA.value"
"Acianthera_sonderiana_C_050",0.07687972,0.07687972,0.03740394,0.02916706,0.08256477,0.0375469,0.775,1.55,1.60050560354218,0,0.558333333333333,"maxent",2,1,6,200,0.0740616374413828,0.290069154033797,"spec_sens",0.029126213592233,0.0833333333333333,0.993150684931507,0.75187969924812,0.813084112149533,0.186915887850467,0.24812030075188,0.779166666666667,0.104069586828208
"Acianthera_sonderiana_C_050",0.7894,0.11086667,0.11086667,0.03116667,0.21106667,0.1142,0.738333333333333,1.47666666666667,1.48114548012217,0,0.57,"rf",2,1,6,200,0.100359779191593,0.151203035475948,"spec_sens",0.029126213592233,0.0652173913043478,1,0.699300699300699,1,0,0.300699300699301,0.785,0.0716830853070635
"Acianthera_sonderiana_C_050",0.01636497,0.01271413,-0.00509428,0.02631073,0.01265202,-0.00373429,0.599166666666667,1.19833333333333,1.24594045500837,0,0.356666666666666,"svmk",2,1,6,200,0.00298650778433958,0.966017433155717,"spec_sens",0.029126213592233,0.0606060606060606,0.985714285714286,0.68259385665529,0.674267100977199,0.325732899022801,0.31740614334471,0.678333333333333,0.0609686609686612
"Acianthera_sonderiana_C_050",0.43468261,0.08685652,-1e-04,-1e-04,0.08685652,0.08685652,0.765,1.53,1.95678222696501,0,0.518333333333334,"bioclim",3,1,6,200,0.180980376077601,0.00923354330070491,"spec_sens",0.029126213592233,0.0735294117647059,0.992753623188406,0.725689404934688,0.804305283757339,0.195694716242661,0.274310595065312,0.759166666666667,0.0862212364846131
"Acianthera_sonderiana_C_050",0.08972708,0.04036622,0.01615564,0.02782031,0.04036622,0.01650753,0.859166666666667,1.71833333333333,1.52055837565879,0,0.658333333333333,"glm",3,1,6,200,0.221170159468426,0.00139961663870103,"spec_sens",0.029126213592233,NA,0.970873786407767,NA,0.5,0.5,NA,0.5,0
"Acianthera_sonderiana_C_050",0.92141505,0.19754888,0.19754888,0.02904042,0.40202095,0.19842456,0.904166666666667,1.80833333333333,1.80990164814973,0,0.66,"maxent",3,1,6,200,0.310665835365761,5.50080565984552e-06,"spec_sens",0.029126213592233,0.0810810810810811,1,0.746268656716418,1,0,0.253731343283582,0.83,0.101590559261159
"Acianthera_sonderiana_C_050",0.7663,0.52513333,0.28206667,0.0779,0.52513333,0.2886,0.861666666666667,1.72333333333333,1.64841589759284,0,0.653333333333333,"rf",3,1,6,200,0.252783116901398,0.000246607209555516,"spec_sens",0.029126213592233,0.121951219512195,0.993939393939394,0.822368421052632,0.831081081081081,0.168918918918919,0.177631578947368,0.826666666666667,0.170620239390642
"Acianthera_sonderiana_C_050",0.01707192,0.01613152,0.01613152,0.03047963,0.01620131,0.01620131,0.9525,1.905,1.95750970043718,0,0.89,"svmk",3,1,6,200,0.214583867878777,0.00195307079633315,"spec_sens",0.029126213592233,0.214285714285714,1,0.900900900900901,1,0,0.0990990990990991,0.945,0.320335932813438
"Acianthera_sonderiana_C_050",0.34772609,0.26076957,0.08685652,-1e-04,0.17381304,0.17381304,0.949166666666667,1.89833333333333,1.9730026594138,0,0.743333333333333,"bioclim",4,1,6,200,0.445079272313164,2.04412733139209e-11,"spec_sens",0.029126213592233,0.217391304347826,0.994535519125683,0.902527075812274,0.845201238390093,0.154798761609907,0.0974729241877256,0.871666666666667,0.313092313092313
"Acianthera_sonderiana_C_050",0.04232132,0.04232132,0.04232132,0.02892701,0.04879692,0.04879692,0.87,1.74,1.55543904392589,0,0.84,"glm",4,1,6,200,0.117104523726609,0.0936772515880551,"spec_sens",0.029126213592233,NA,0.970873786407767,NA,0.5,0.5,NA,0.5,0
"Acianthera_sonderiana_C_050",0.87718596,0.43725155,0.43725155,0.0294749,0.47448163,0.47448163,0.949166666666667,1.89833333333333,1.78000667185633,0,0.86,"maxent",4,1,6,200,0.392808666029587,5.21999354221937e-09,"spec_sens",0.029126213592233,0.176470588235294,1,0.87719298245614,1,0,0.12280701754386,0.93,0.263534218590399
"Acianthera_sonderiana_C_050",0.86036667,0.46,0.46,0.0282,0.5094,0.46086667,0.856666666666667,1.71333333333333,1.74891153550651,0,0.655,"rf",4,1,6,200,0.228730979036308,0.000943412834799662,"spec_sens",0.029126213592233,0.08,1,0.743494423791822,1,0,0.256505576208178,0.8275,0.0995819080197643
"Acianthera_sonderiana_C_050",0.01670678,0.01206831,0.01206831,0.03356194,0.01424207,0.01216514,0.863333333333333,1.72666666666667,1.2399567491154,0,0.69,"svmk",4,1,6,200,0.17691139767479,0.010965313397336,"spec_sens",0.029126213592233,0.0882352941176471,1,0.763358778625954,1,0,0.236641221374046,0.845,0.114776822844469
"Acianthera_sonderiana_C_100",0.3749,0.20823333,-1e-04,0.04156667,0.08323333,0.08323333,0.799615384615385,1.59923076923077,1.91964694785316,0,0.505384615384616,"bioclim",1,1,13,200,0.36318280604328,4.84902847787828e-08,"spec_sens",0.0610328638497653,0.266666666666667,0.972677595628415,0.848356309650053,0.698249849124924,0.301750150875075,0.151643690349947,0.752692307692308,0.313641245972073
"Acianthera_sonderiana_C_100",0.1444366,0.06309526,0.02289456,0.05956421,0.06384571,0.06335923,0.855384615384615,1.71076923076923,1.582534199381,0,0.683076923076923,"glm",1,1,13,200,0.334172013301019,5.95550556325857e-07,"spec_sens",0.0610328638497653,1,0.943396226415094,1,0.52,0.48,0,0.538461538461538,0.13531799729364
"Acianthera_sonderiana_C_100",0.75517763,0.2711999,0.09063596,0.06151683,0.2711999,0.12046691,0.892692307692308,1.78538461538462,1.75976207064448,0,0.666153846153846,"maxent",1,1,13,200,0.430398997396066,5.13228405441031e-11,"spec_sens",0.0610328638497653,0.234042553191489,0.987951807228916,0.824587706146926,0.842022116903633,0.157977883096367,0.175412293853073,0.833076923076923,0.29970583145873
"Acianthera_sonderiana_C_100",0.8673,0.35036667,0.07996667,0.0606,0.44553333,0.35566667,0.876538461538461,1.75307692307692,1.47280449004593,0,0.668076923076923,"rf",1,1,13,200,0.412361471295815,3.75824477515564e-10,"spec_sens",0.0610328638497653,0.19047619047619,0.993333333333333,0.783545543584721,0.906410856340664,0.0935891436593355,0.216454456415279,0.834038461538462,0.238762886597938
"Acianthera_sonderiana_C_100",0.02878847,0.02144747,-0.01539104,0.05974753,0.02044045,0.00456877,0.801923076923077,1.60384615384615,1.34994720426966,0,0.599230769230769,"svmk",1,1,13,200,0.311991052007927,3.43414793960096e-06,"spec_sens",0.0610328638497653,0.227272727272727,0.982248520710059,0.819000819000819,0.782451051486585,0.217548948513416,0.180999180999181,0.799615384615385,0.283350004546695
"Acianthera_sonderiana_C_100",0.33323333,0.1249,-1e-04,0.04156667,0.08323333,0.04156667,0.782692307692308,1.56538461538462,1.92459874426153,0,0.557307692307692,"bioclim",2,1,13,200,0.382505834216171,7.8994541209359e-09,"spec_sens",0.0610328638497653,0.25,0.977401129943503,0.836820083682008,0.737618891439816,0.262381108560184,0.163179916317992,0.778653846153846,0.305020524155352
