"species","algoritmo","AUC","TSS","pROC","omission"
"Vriesea_incurvata_C_050","bioclim",0.770535714285714,0.519285714285714,1.96494419819772,0.207375673426306
"Vriesea_incurvata_C_100","bioclim",0.850300925925926,0.564814814814815,1.93243165499128,0.232248886535456
"Vriesea_incurvata_N_010","bioclim",0.663541666666667,0.317916666666667,1.98952787294286,0.195386201565506
"Vriesea_incurvata_N_020","bioclim",0.78225,0.495,1.97512141592032,0.259374307497935
"Vriesea_incurvata_N_050","bioclim",0.813798076923077,0.547115384615384,1.95233090662165,0.272092225690709
"Vriesea_incurvata_N_100","bioclim",0.780902777777778,0.484351851851852,1.93574177559823,0.299656711207447
"Vriesea_rodigasiana_C_010","bioclim",0.620625,0.24625,1.99191912839782,0.378694581280788
"Vriesea_rodigasiana_C_020","bioclim",0.494583333333333,0.0583333333333333,1.99840695262656,0.432692307692308
"Vriesea_rodigasiana_C_050","bioclim",0.706875,0.39625,1.98495426558181,0.213019510129633
"Vriesea_rodigasiana_C_100","bioclim",0.892102272727273,0.714886363636363,1.95962033037393,0.136899773914557
"Vriesea_rodigasiana_N_010","bioclim",0.61625,0.24125,1.99229946716266,0.383454106280193
"Vriesea_rodigasiana_N_020","bioclim",0.747083333333333,0.525416666666667,1.98417249124206,0.168993458705077
"Vriesea_rodigasiana_N_050","bioclim",0.7490625,0.490833333333333,1.97094445014451,0.128364772815865
"Vriesea_rodigasiana_N_100","bioclim",0.899431818181818,0.699090909090909,1.94428206514033,0.185523432424532
"Vriesea_vagans_C_010","bioclim",0.4775,0,NA,0.5
"Vriesea_vagans_C_020","bioclim",0.653958333333333,0.340416666666667,1.98443744319332,0.249936825332072
"Vriesea_vagans_C_050","bioclim",0.805535714285714,0.605535714285714,1.98259450205079,0.132081604523098
"Vriesea_vagans_C_100","bioclim",0.843221153846154,0.599134615384615,1.94095429998704,0.222390043317433
"Vriesea_vagans_N_010","bioclim",0.6575,0.3375,1.99131918994086,0.287017236217442
"Vriesea_vagans_N_020","bioclim",0.760833333333333,0.538333333333333,1.98903837118626,0.0677223719676549
