"sp","algo","M1","M2","good","bad","total","mod"
"Hatiora_salicornioides_C_020","rf",0.18,1.97802197802198,180,91,1000,"raw_mean"
"Hatiora_salicornioides_C_020","svmk",0.108,0.687898089171974,108,157,1000,"raw_mean"
"Hatiora_salicornioides_C_050","bioclim",0.394,2.41717791411043,394,163,1000,"raw_mean"
"Hatiora_salicornioides_C_050","glm",0.195,1.18181818181818,195,165,1000,"raw_mean"
"Hatiora_salicornioides_C_050","maxent",0.23,1.41104294478528,230,163,1000,"raw_mean"
"Hatiora_salicornioides_C_050","rf",0.186,1.58974358974359,186,117,1000,"raw_mean"
"Hatiora_salicornioides_C_050","svmk",0.13,0.787878787878788,130,165,1000,"raw_mean"
"Hatiora_salicornioides_C_100","bioclim",0.266,1.87323943661972,266,142,1000,"raw_mean"
"Hatiora_salicornioides_C_100","glm",0.166,1.12925170068027,166,147,1000,"raw_mean"
"Hatiora_salicornioides_C_100","maxent",0.228,1.48051948051948,228,154,1000,"raw_mean"
"Hatiora_salicornioides_C_100","rf",0.214,2.09803921568627,214,102,1000,"raw_mean"
"Hatiora_salicornioides_C_100","svmk",0.1,0.540540540540541,100,185,1000,"raw_mean"
"Hatiora_salicornioides_N_010","bioclim",0.462,2.25365853658537,462,205,1000,"raw_mean"
"Hatiora_salicornioides_N_010","glm",0.026,0.1256038647343,26,207,1000,"raw_mean"
"Hatiora_salicornioides_N_010","maxent",0.141,1.5,141,94,1000,"raw_mean"
"Hatiora_salicornioides_N_010","rf",0.152,1.36936936936937,152,111,1000,"raw_mean"
"Hatiora_salicornioides_N_010","svmk",0.142,0.75531914893617,142,188,1000,"raw_mean"
"Hatiora_salicornioides_N_020","bioclim",0.332,2.06211180124224,332,161,1000,"raw_mean"
"Hatiora_salicornioides_N_020","glm",0.174,0.844660194174757,174,206,1000,"raw_mean"
"Hatiora_salicornioides_N_020","maxent",0.224,1.29479768786127,224,173,1000,"raw_mean"
"Hatiora_salicornioides_N_020","rf",0.182,1.56896551724138,182,116,1000,"raw_mean"
"Hatiora_salicornioides_N_020","svmk",0.135,0.849056603773585,135,159,1000,"raw_mean"
"Hatiora_salicornioides_N_050","bioclim",0.109,0.493212669683258,109,221,1000,"raw_mean"
"Hatiora_salicornioides_N_050","glm",0.173,0.887179487179487,173,195,1000,"raw_mean"
"Hatiora_salicornioides_N_050","maxent",0.215,1.38709677419355,215,155,1000,"raw_mean"
"Hatiora_salicornioides_N_050","rf",0.21,3,210,70,1000,"raw_mean"
"Hatiora_salicornioides_N_050","svmk",0.1,0.617283950617284,100,162,1000,"raw_mean"
"Hatiora_salicornioides_N_100","bioclim",0.22,1.41935483870968,220,155,1000,"raw_mean"
"Hatiora_salicornioides_N_100","glm",0.187,1,187,187,1000,"raw_mean"
"Hatiora_salicornioides_N_100","maxent",0.218,1.80165289256198,218,121,1000,"raw_mean"
"Hatiora_salicornioides_N_100","rf",0.182,1.73333333333333,182,105,1000,"raw_mean"
"Hatiora_salicornioides_N_100","svmk",0.096,0.48,96,200,1000,"raw_mean"
"Nematanthus_crassifolius_C_010","bioclim",0.185,0.226993865030675,185,815,1000,"raw_mean"
"Nematanthus_crassifolius_C_010","glm",0.054,0.225941422594142,54,239,1000,"raw_mean"
"Nematanthus_crassifolius_C_010","maxent",0.132,0.721311475409836,132,183,1000,"raw_mean"
"Nematanthus_crassifolius_C_010","rf",0.168,1.64705882352941,168,102,1000,"raw_mean"
"Nematanthus_crassifolius_C_010","svmk",0.23,1.07981220657277,230,213,1000,"raw_mean"
"Nematanthus_crassifolius_C_020","bioclim",0.683,2.16139240506329,683,316,1000,"raw_mean"
"Nematanthus_crassifolius_C_020","glm",0,0,0,250,1000,"raw_mean"
"Nematanthus_crassifolius_C_020","maxent",0.034,0.161137440758294,34,211,1000,"raw_mean"
"Nematanthus_crassifolius_C_020","rf",0.1,0.8,100,125,1000,"raw_mean"
"Nematanthus_crassifolius_C_020","svmk",0.154,0.83695652173913,154,184,1000,"raw_mean"
"Nematanthus_crassifolius_C_050","bioclim",0.089,0.206496519721578,89,431,1000,"raw_mean"
"Nematanthus_crassifolius_C_050","glm",0.218,1.2247191011236,218,178,1000,"raw_mean"
"Nematanthus_crassifolius_C_050","maxent",0.243,22.0909090909091,243,11,1000,"raw_mean"
